iteration,detected,detection_time,convergence_time,false_positives,max_posterior,early_warning,early_warning_time,baseline_updates,leak_rate
0,True,-1,-1,0,0.6177866351071457,True,1,70,0.12
1,True,-1,-1,0,0.6417177773255793,True,-1,70,0.12
2,True,-1,-1,0,0.643562937803796,True,1,70,0.12
3,True,-1,-1,0,0.5956401830955841,True,1,70,0.12
4,True,-1,-1,0,0.6829563013989814,True,1,70,0.12
5,True,1,-1,0,0.5710100389528923,True,-1,70,0.12
6,True,-1,-1,0,0.6904612034440626,True,1,70,0.12
7,True,-1,-1,0,0.6854945099747768,True,-1,70,0.12
8,True,-1,-1,0,0.6027403505293919,True,1,70,0.12
9,True,-1,-1,0,0.5984054380464273,True,-1,70,0.12
10,True,-1,-1,0,0.6042806649441507,True,1,70,0.12
11,True,-1,-1,0,0.6367774780094643,True,-1,70,0.12
12,False,-1,-1,0,0.1,False,-1,70,0.0
13,False,-1,-1,0,0.11479722372465578,False,-1,70,0.0
14,False,-1,-1,0,0.16088525254726424,False,-1,70,0.0
15,False,-1,-1,0,0.11569497905047357,False,-1,70,0.0
16,False,-1,-1,0,0.22037131263327459,False,-1,70,0.0
17,False,-1,-1,0,0.14539000390315096,False,-1,70,0.0
18,False,-1,-1,0,0.14465544543802056,False,-1,70,0.0
19,False,-1,-1,0,0.11927849249910784,False,-1,70,0.0
